pH,[H3O+],[OH-],D,alpha H3PO4,alpha H2PO4,alpha HPO4,alpha PO4,phi,V_b
1.9,0.012589254117942,7.94328234724283E-13,3.90075254502439E-06,0.511507021257714,0.488485412999027,7.56574325749221E-06,1.81489539829221E-15,-0.125200368789325,-1.25200368789325
2,0.01,1E-12,2.20228787690557E-06,0.454073243778237,0.545916111705937,1.06445158233073E-05,3.21459238734435E-15,0.041761273443647,0.417612734436467
2.1,0.007943282347243,1.25892541179417E-12,1.25978342952783E-06,0.39783602632011,0.602149192669967,1.47810099181951E-05,5.61958323780684E-15,0.189928111258934,1.89928111258934
2.2,0.006309573444802,1.58489319246112E-12,7.29833526557483E-07,0.344172518815046,0.655807214804539,2.02663804051993E-05,9.70009952438626E-15,0.320167849781024,3.20167849781024
2.3,0.005011872336273,1.99526231496888E-12,4.27899462195173E-07,0.294210561830512,0.705761980842254,2.74573272168226E-05,1.65446757224769E-14,0.433496964356356,4.33496964356356
2.4,0.003981071705535,2.51188643150958E-12,2.53651138787358E-07,0.248750053911304,0.751213153259538,3.67928291297505E-05,2.79102150997093E-14,0.531090076993958,5.31090076993958
2.5,0.003162277660168,3.16227766016839E-12,1.51856633165845E-07,0.208240996408421,0.791710187137101,4.88164544311556E-05,4.6619352057607E-14,0.614269044449274,6.14269044449274
2.6,0.00251188643151,3.98107170553498E-12,9.17125778640897E-08,0.172810886943968,0.827124907723484,6.42053324712129E-05,7.7191787742926E-14,0.684465988740024,6.84465988740024
2.7,0.001995262314969,5.01187233627274E-12,5.58109689309263E-08,0.142324752631936,0.85759144034035,8.38070275873696E-05,1.26847069302867E-13,0.743167792043668,7.43167792043668
2.8,0.001584893192461,6.30957344480195E-12,3.4184304261853E-08,0.11645905310928,0.883432260978331,0.000108685912181,2.07096736256865E-13,0.791854918842793,7.91854918842793
2.9,0.001258925411794,7.94328234724284E-12,2.1052820703835E-08,0.094774108564246,0.905085710256459,0.000140181178959,3.36271226712713E-13,0.83194622011148,8.3194622011148
3,0.001,1E-11,1.30249885749964E-08,0.076775499206168,0.923044521455739,0.00017997933755,5.43528910069951E-13,0.864756911602915,8.64756911602915
3.1,0.000794328234724,1.25892541179417E-11,8.0888250710628E-09,0.061960449042251,0.937809346060575,0.000230204896299,8.75214605538653E-13,0.891472130027768,8.91472130027768
3.2,0.00063095734448,1.58489319246112E-11,5.03896867477255E-09,0.049849217044854,0.949857249001928,0.000293533951813,1.40494182456114E-12,0.913134958537023,9.13134958537023
3.3,0.000501187233627,1.99526231496889E-11,3.14701915914343E-09,0.040003741576738,0.959622921782268,0.000373336638745,2.24957570508351E-12,0.930645955847486,9.30645955847486
3.4,0.000398107170553,2.51188643150959E-11,1.96948970671913E-09,0.032036590103904,0.967489554000992,0.00047385589151,3.59456453094883E-12,0.944770708823265,9.44770708823265
3.5,0.000316227766017,3.16227766016839E-11,1.23462852146747E-09,0.025613191378486,0.973786376802962,0.000600431812818,5.73407929652137E-12,0.956152235175443,9.56152235175443
3.6,0.000251188643151,3.98107170553499E-11,7.75015350616223E-10,0.020449829686611,0.978790387088493,0.000759783215761,9.13460338329097E-12,0.965325735148604,9.65325735148604
3.7,0.000199526231497,5.01187233627275E-11,4.87041109818243E-10,0.016309264633138,0.982730374652053,0.000960360700274,1.45356474045555E-11,0.972733928165461,9.72733928165461
3.8,0.000158489319246,6.30957344480196E-11,3.0634777898191E-10,0.012995268706583,0.985791942229264,0.001212789041043,2.31092187688406E-11,0.978741856884551,9.78741856884551
3.9,0.000125892541179,7.94328234724286E-11,1.92836455041038E-10,0.010346914511285,0.988122664647473,0.00153042080453,3.67122380585912E-11,0.983650541397791,9.83650541397791
4,9.99999999999996E-05,1E-10,1.21460866350352E-10,0.008233104456175,0.989836867414968,0.001930028070571,5.82859159214361E-11,0.987709220498178,9.87709220498178
4.1,7.94328234724279E-05,1.25892541179417E-10,7.65451534572909E-11,0.006547602441047,0.991019732493494,0.002432664972972,9.24873427524244E-11,0.991126149600857,9.91126149600857
4.2,6.30957344480192E-05,1.58489319246112E-10,4.82621087213109E-11,0.005204676086605,0.991730583274928,0.003064740491779,1.4668770245249E-10,0.994078066619001,9.94078066619001
4.3,5.01187233627272E-05,1.99526231496888E-10,3.04428995077729E-11,0.00413536631579,0.99200528505208,0.003859348399582,2.32548737416875E-10,0.996718515750166,9.96718515750166
4.4,3.98107170553497E-05,2.51188643150958E-10,1.92110283512396E-11,0.003284349660748,0.991857740837851,0.00485790913289,3.68510092973996E-10,0.999185256610299,9.99185256610299
4.5,3.16227766016838E-05,3.16227766016838E-10,1.21283981539854E-11,0.002607333318068,0.991280480202863,0.006112185895359,5.83709221445298E-10,1.00160699794998,10.0160699794998
