C_b =,,pH,[H3O+],[OH-],D,alpha H3PO4,alpha H2PO4,alpha HPO4,alpha PO4,phi,V_b
0.1,,1.97388225824501,0.010619834329377,9.41634275060003E-13,2.55366359252682E-06,0.469018032443262,0.530972218691724,9.74886501170463E-06,2.77227504224092E-15,0,0
C_a =,,2.07388225824501,0.008435634255918,1.18544731748942E-12,1.4558293521406E-06,0.412327930209278,0.587658486428856,1.35833618611595E-05,4.86283494245531E-15,0.152997620714075,1.52997620714075
0.02,,2.17388225824501,0.006700662467283,1.49238975233066E-12,8.40671166906933E-07,0.35787146643482,0.642109848630258,1.86849349137685E-05,8.42119739860797E-15,0.287827730506394,2.87827730506394
V_a =,,2.27388225824501,0.00532252538912,1.87880738351027E-12,4.91388586897242E-07,0.30685143599619,0.69312317225128,2.53917525155235E-05,1.4407045732468E-14,0.405466622476195,4.05466622476195
50,,2.37388225824501,0.004227832196615,2.36527835896758E-12,2.90480111595612E-07,0.260157782721052,0.739808097882565,3.41193963579848E-05,2.43715750622437E-14,0.507047605075318,5.07047605075318
K_a1 = ,,2.47388225824501,0.003358286485448,2.9777090320711E-12,1.73475365853093E-07,0.218331004654499,0.781623613732281,4.53816131793197E-05,4.08095858972657E-14,0.593856645387948,5.93856645387948
0.012022644346174,,2.57388225824501,0.002667581775684,3.74871356940332E-12,1.04541792768668E-07,0.181578022397564,0.818362160165722,5.98174366458269E-05,6.77189251910663E-14,0.667301883046517,6.67301883046517
K_a2 =,,2.67388225824501,0.002118935522862,4.71935077405946E-12,6.34990734899948E-08,0.149825534836079,0.850096239302589,7.82258612211142E-05,1.11489151805607E-13,0.728861803486003,7.28861803486003
1.94984459975805E-07,,2.77388225824501,0.001683130313369,5.94131061663393E-12,3.88314136647149E-08,0.122791986082934,0.877106404363994,0.00010160955289,1.82312647820863E-13,0.780024282986669,7.80024282986669
K_a3 =,,2.87388225824501,0.00133695793063,7.47966691464292E-12,2.38828421729312E-08,0.100061547829528,0.899807222591922,0.000131229578254,2.96424428574302E-13,0.822228930755651,8.22228930755651
3.01995172040202E-12,,2.97388225824501,0.001061983432938,9.41634275060005E-12,1.47594480410233E-08,0.081148988116623,0.918682338084394,0.000168673798503,4.79656002322332E-13,0.856821215231797,8.56821215231797
K_w =,,3.07388225824501,0.000843563425592,1.18544731748942E-11,9.15756134497937E-09,0.065550104541221,0.934233953067305,0.000215942390701,7.73072390907072E-13,0.885021945825627,8.85021945825627
