pH,H3A,H2A,HA,A
9.39999999999998,3.59933999145674E-13,6.23838196798145E-06,0.783505350997301,0.216488410620371
9.49999999999998,2.15048852384077E-13,4.69230485399902E-06,0.741918540725006,0.258076766969925
9.59999999999998,1.2718775489161E-13,3.49377064879745E-06,0.695447573777776,0.304548932451448
9.69999999999998,7.43844793582389E-14,2.57235804897078E-06,0.644616507231228,0.355380920410648
9.79999999999998,4.29786805590699E-14,1.87112227668203E-06,0.590299171446489,0.409698957431191
9.89999999999998,2.45169314325776E-14,1.34373986973294E-06,0.533685259326777,0.466313396933329
9.99999999999998,1.38026093529338E-14,9.5238004535239E-07,0.476190022676174,0.523809024943767
10.1,7.66876418166501E-15,6.66153745269464E-07,0.419318939040774,0.580680394805473
10.2,4.206242811475E-15,4.59984746244399E-07,0.364513346479333,0.635486193535916
10.3,2.27897021852461E-15,3.13752894183125E-07,0.313009662987989,0.686990023259115
10.4,1.2207814748136E-15,2.11586045147144E-07,0.265740057950929,0.734259730463024
10.5,6.47213755365065E-16,1.41220202396172E-07,0.223288745600925,0.776711113178872
10.6,3.39989009360832E-16,9.33929231497852E-08,0.185901961924397,0.81409794468268
10.7,1.77172301988962E-16,6.12695821773611E-08,0.153537661984844,0.846462276745573
10.8,9.16919805341498E-17,3.99190726980881E-08,0.125936160518481,0.874063799562446
10.9,4.71768012699685E-17,2.58569670381701E-08,0.102694594913763,0.89730537922927
11,2.41545889694079E-17,1.66666663888906E-08,0.083333331944449,0.916666651388885
11.1,1.23170779611644E-17,1.06993348866076E-08,0.067348322890228,0.932651666410438
11.2,6.25987179797728E-18,6.84564745682215E-09,0.054248100261528,0.945751892892825
11.3,3.17276736267101E-18,4.36804717550122E-09,0.043576999596417,0.956422996035536
11.4,1.60453120470529E-18,2.78097611180256E-09,0.034927480807944,0.96507251641108
11.5,8.09989192221314E-19,1.76737340200201E-09,0.027944627131632,0.972055371100995
11.6,4.08302931541934E-19,1.12158344115345E-09,0.022325520514862,0.977674478363555
11.7,2.05580185369685E-19,7.10935734318657E-10,0.017815595698496,0.982184403590568
11.8,1.03413087036941E-19,4.50219802791134E-10,0.014203474560074,0.985796524989707
11.9,5.19811692036672E-20,2.84901761569909E-10,0.011315275666883,0.988684724048216
12,2.61130695866302E-20,1.80180180147737E-10,0.009009009007386,0.990990990812433
12.1,1.3111832006117E-20,1.13897047702963E-10,0.007169394384079,0.992830605502024
12.2,6.58118704791294E-21,7.19703019987938E-11,0.005703262084863,0.994296737843167
12.3,3.30228050558456E-21,4.5463519339117E-11,0.00453558234216,0.995464417612377
12.4,1.65660618182608E-21,2.87123254743366E-11,0.003606105038803,0.996393894932484
12.5,8.30886116108281E-22,1.81296989614805E-11,0.002866557100573,0.997133442881297
12.6,4.16675173117528E-22,1.14458148204691E-11,0.002278330476428,0.997721669512126
12.7,2.08930179564238E-22,7.22520657147596E-12,0.001810590646972,0.998189409345803
12.8,1.04752147094365E-22,4.56049542258857E-12,0.001438739040675,0.998561260954764
12.9,5.25159787169695E-23,2.87832980216552E-12,0.001143169315354,0.998856830681767
13,2.63265279258222E-23,1.8165304268816E-12,0.000908265213441,0.999091734784743
13.1,1.31969849584687E-23,1.14636736090635E-12,0.000721595500948,0.999278404497905
13.2,6.61514214884759E-24,7.23416269362056E-13,0.000573268760314,0.999426731238963
13.3,3.3158157455447E-24,4.56498631832106E-13,0.000455417258465,0.999544582741079
13.4,1.6620001944214E-24,2.88058145889784E-13,0.000361784674073,0.999638215325639
13.5,8.33035264961677E-25,1.81765927787919E-13,0.000287397166412,0.999712602833407
13.6,4.17531320020409E-25,1.14693326577238E-13,0.000228301178625,0.99977169882126
13.7,2.09271193584947E-25,7.23699949075894E-14,0.000181354587727,0.999818645412201
13.8,1.048879628612E-25,4.56640830552359E-14,0.000144060442913,0.999855939557041
